name,header,superhost,guests_rooms,rating,reviews,location,rarity,rarity_desc,house_rules,health_safety,cancellation,host_response,per night,total price,url,host
★Lovely RiverSide House★Near Shopping area★2 Beds,Entire townhouse,None,2 guests · 1 bedroom · 2 beds · 1 bath,5.0 ·,11 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 4:00 PM - 9:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 10.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第443号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$94.48 x 7 nights,$630.71,https://www.airbnb.com/rooms/40117962?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Rinn
Okunoniwa - Garden House,Entire home,Superhost,4 guests · 2 bedrooms · 3 beds · 1 bath,4.96 ·,84 reviews,"Shimogyo Ward, Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: After 12:00 PMCheckout: 12:00 PMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation before Aug 4.,Policy number: M260019002Response rate: 100%Response time: within an hour,$196.84 x 7 nights,"$1,329.79",https://www.airbnb.com/rooms/16580115?adults=2&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000,Margaret
KumoMachiya KOFUNE,Entire villa,None,5 guests · 2 bedrooms · 5 beds · 1.5 baths,5.0 ·,17 reviews,"Nakagyo Ward, Kyoto, Kyoto, Japan",This is a rare find.,Kumo Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 9.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第668号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$98.98 x 7 nights,$709.42,https://www.airbnb.com/rooms/46866383?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,Kumo Machiya
Kyotofish·Miya*Former Geisha House Reformed,Entire townhouse,Superhost,8 guests · 3 bedrooms · 7 beds · 4 baths,5.0 ·,7 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",This is a rare find.,Karen's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 23.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 240 号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$314.94 x 7 nights,"$2,196.69",https://www.airbnb.com/rooms/580087080653234658?adults=2&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000,Karen
【home quarantin ok】shibainu machiya/Kyoto Sta/Toji,Entire home,None,4 guests · 1 bedroom · 3 beds · 1 bath,4.80 ·,30 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or events,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation for 48 hours.,Policy number: M260019914Response rate: 90%Response time: within an hour,$43.41 x 7 nights,$334.00,https://www.airbnb.com/rooms/34028813?adults=2&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000,ももこ
NEW! Luana Higashiyama Guest House 5 min from Gion,Entire guest suite,Superhost,4 guests · 1 bedroom · 2 beds · 1 bath,4.91 ·,195 reviews,"京都市, 京都府, Japan",Lower price.,Your dates are $354 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 11.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 115 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$55.11 x 7 nights,$452.69,https://www.airbnb.com/rooms/24930840?adults=2&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000,Luana
Modern Private Apt/6 min from Sta/in Central Kyoto,Entire rental unit,Superhost,7 guests · 2 bedrooms · 3 beds · 3 baths,4.99 ·,293 reviews,"Nakagyō-ku,Kyōto-shi,, Kyoto Prefecture, Japan",Lower price.,Your dates are $282 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 3:00 PM - 9:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Heights without rails or protectionCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 23.,"Policy number: Hotels and Inns Business Act | 京都市指令保保医 | 第437号Languages: 中文 (简体), English, 日本語, 한국어Response rate: 100%Response time: within an hour",$148.81 x 7 nights,$921.06,https://www.airbnb.com/rooms/14750897?adults=2&children=0&infants=0&check_in=2022-08-28&check_out=2022-09-04&previous_page_section_name=1000,Noriko
"BEST GION LOCATION, LUXURY, QUIET VACATION RENTAL",Entire home,Superhost,4 guests · 2 bedrooms · 4 beds · 1.5 baths,5.0 ·,212 reviews,"Higashiyama Ward, Kyoto, Japan",None,None,House rulesCheck-in: 2:00 PM - 10:00 PMCheckout: 10:00 AMSelf check-in with building staffNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 28.,"Policy number: Hotels and Inns Business Act | 京都市指令保保医第 | ２８２号Languages: English, Français, 日本語Response rate: 100%Response time: within an hour",$226.43 x 7 nights,"$1,760.27",https://www.airbnb.com/rooms/12824544?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,Chie & Chris
Brandnew!Beautiful hotel Center of KYOTO (Room A),Entire condo,Superhost,4 guests · 2 bedrooms · 5 beds · 1 bath,4.87 ·,106 reviews,"Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: 3:00 PM - 2:00 AMCheckout: 12:00 PMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 20.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第379号Languages: English, 日本語Response rate: 100%Response time: within an hour",$55.11 x 7 nights,$344.12,https://www.airbnb.com/rooms/23154718?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Hisano
雲町屋 小波 KumoMachiya KONAMI,Entire townhouse,None,4 guests · 2 bedrooms · 1 bed · 2 baths,4.73 ·,82 reviews,"Kyoto-shi, Kyoto-Hu, Japan",This is a rare find.,Kumo Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNot suitable for infants (under 2 years)No smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 16.,"Policy number: Hotels and Inns Business Act | 京都市医務衛生課 | 京都市指令保保医第1868号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$101.23 x 7 nights,$724.36,https://www.airbnb.com/rooms/16195377?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Kumo Machiya
Expo Cottage 3 with free parking  / ５２㎡  (５６０ft²）,Entire home,Superhost,4 guests · 1 bedroom · 2 beds · 1.5 baths,4.91 ·,78 reviews,"Kyotoshi, Kyoto, Japan",This is a rare find.,Cottage's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 20.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第 315 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$35.66 x 7 nights,$329.37,https://www.airbnb.com/rooms/27587737?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Cottage
✿Kyoto✿Near station & bus/Temple/Standard twin(^^♪,Room in hotel,Superhost,2 guests · 1 bedroom · 2 beds · 1 private bath,4.71 ·,95 reviews,"Kyoto, Japan",This is a rare find.,Fuji Hotel's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show more󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 15.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 57 号Response rate: 100%Response time: within an hour,$57.43 x 7 nights,$201.03,https://www.airbnb.com/rooms/50292563?adults=2&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000,Fuji Hotel
【Disinfection】KyotoShijoSta.4mins!King Deluxe R301,Entire rental unit,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,4.95 ·,165 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $108 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with building staffNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 12.,"Policy number: Hotels and Inns Business Act | 京都市指令保医 | セ第835号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$30.14 x 7 nights,$265.77,https://www.airbnb.com/rooms/24633538?adults=2&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000,Aika
Kyoto Sanjo Ohashi Superior Twin Studio No Smoking Superior Twin,Entire rental unit,None,4 guests · 1 bedroom · 2 beds · 1 bath,4.71 ·,540 reviews,"Kyoto, Japan",This is a rare find.,Kyoto's place on Airbnb is usually fully booked.,House rulesCheck-in: 4:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 9.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第403号Response rate: 100%Response time: within an hour,$60.74 x 7 nights,$388.17,https://www.airbnb.com/rooms/45207535?adults=2&children=0&infants=0&check_in=2022-08-14&check_out=2022-08-21&previous_page_section_name=1000,Kyoto
【宮之軒】【 home quarantine ok】CBD/2min railway/machiya,Entire home,None,6 guests · 3 bedrooms · 1 bed · 1.5 baths,4.80 ·,25 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation for 48 hours.,Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第259号Response rate: 100%Response time: within an hour,$43.74 x 7 nights,$352.01,https://www.airbnb.com/rooms/37573326?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,おおみや
Walk to Kiyomizu Temple 3mins Villa of 3F 3BR,Entire villa,None,4 guests · 3 bedrooms · 4 beds · 2.5 baths,4.77 ·,106 reviews,"Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 4:00 PM - 12:00 AMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation before Aug 2.,"Policy number: Hotels and Inns Business Act | 京都市指令保医ャ | 京都市指令保医セ第57号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$101.00 x 7 nights,$674.84,https://www.airbnb.com/rooms/6698384?adults=2&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000,Candy
Kotone Inn・Near Nijo Castle and Gyoen・Good Access,Entire townhouse,None,7 guests · 3 bedrooms · 3 baths,4.86 ·,78 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 14.,"Policy number: Hotels and Inns Business Act | 京都府京都市上京区保健所 | 京都市指令保保医第208号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$60.39 x 7 nights,$377.69,https://www.airbnb.com/rooms/13702928?adults=2&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-26&previous_page_section_name=1000,Kotone-Inn
Artist's ZEN & ART house in East Kyoto,Entire townhouse,Superhost,4 guests · 2 bedrooms · 4 beds · 1.5 baths,4.99 ·,251 reviews,"Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $363 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 3:00 PM - 7:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo parties or eventsPets are allowedShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Pool/hot tub without a gate or lockCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 26.,"Policy number: M260007082Languages: English, 日本語Response rate: 100%Response time: within an hour",$185.59 x 7 nights,"$1,295.62",https://www.airbnb.com/rooms/8244813?adults=2&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000,Jinn
Modern Machiya near Kyoto station,Entire home,Superhost,3 guests · 1 bedroom · 1 bed · 1 bath,4.95 ·,265 reviews,"Higashiyama-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 11:00 AMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $157Show more",Free cancellation before Jul 27.,"Policy number: Hotels and Inns Business Act | 京都市保健医療衛生センター | 京都市指令保医セ第387号Languages: English, 日本語Response rate: 100%Response time: within a few hours",$78.73 x 7 nights,$498.66,https://www.airbnb.com/rooms/6418350?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Koji
Expo Cottage Fune with Free Bicycles /89㎡ (958ft²),Entire home,Superhost,6 guests · 2 bedrooms · 4 beds · 1.5 baths,4.99 ·,88 reviews,"Kyoto, Japan",Lower price.,Your dates are $92 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 23.,"Policy number: Hotels and Inns Business Act | 京都市保健福祉局医療衛生推進室医療衛生センター | 京都市指令保医セ第50号Languages: English, 日本語Response rate: 100%Response time: within an hour",$56.80 x 7 nights,$498.31,https://www.airbnb.com/rooms/33264910?adults=2&children=0&infants=0&check_in=2022-08-28&check_out=2022-09-04&previous_page_section_name=1000,Cottage
Spacious 2-bedroom house with free bicycles,Entire home,Superhost,5 guests · 2 bedrooms · 4 beds · 1 bath,4.93 ·,233 reviews,"Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 2.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第35号Languages: English, 日本語Response rate: 100%Response time: within an hour",$39.82 x 7 nights,$361.80,https://www.airbnb.com/rooms/12435391?adults=2&children=0&infants=0&check_in=2022-08-03&check_out=2022-08-10&previous_page_section_name=1000,Sanae
TabitabiStay「Kawama」,Entire home,Superhost,5 guests · 2 bedrooms · 1.5 baths,4.93 ·,87 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",Good price.,Your dates are $69 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 11:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 3.,"Policy number: Hotels and Inns Business Act | 京都市長　門川大作 | 京都市指令保医セ第23号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$176.26 x 7 nights,"$1,225.66",https://www.airbnb.com/rooms/43072395?adults=2&children=0&infants=0&check_in=2022-08-08&check_out=2022-08-15&previous_page_section_name=1000,Tabitabi Stay
☆COZY Machiya Right by River★PERFECT for a Couple☆,Entire home,None,2 guests · 1 bedroom · 2 beds · 1 bath,4.77 ·,112 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 4:00 PM - 9:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 10.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保保医第321号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$94.48 x 7 nights,$781.68,https://www.airbnb.com/rooms/13518608?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Rinn
